frame,timestamp,camera,class,local_id,confidence,x1,y1,x2,y2
0,0.0,FL,player,3,0.8,1458,376,1527,550
0,0.0,FL,player,5,0.73,462,393,518,559
0,0.0,FL,player,7,0.72,357,416,443,571
0,0.0,FL,player,8,0.71,612,383,659,530
0,0.0,FL,player,9,0.7,508,383,581,567
0,0.0,FL,player,10,0.6,575,393,631,553
0,0.0,FL,player,11,0.56,323,365,379,518
1,0.03,FL,player,3,0.82,1460,377,1529,552
1,0.03,FL,player,5,0.75,462,394,518,559
1,0.03,FL,player,7,0.74,357,416,443,571
1,0.03,FL,player,8,0.71,612,383,659,530
1,0.03,FL,player,9,0.75,509,392,579,567
1,0.03,FL,player,10,0.59,574,395,630,553
1,0.03,FL,player,11,0.53,323,366,377,513
2,0.07,FL,player,3,0.76,1459,379,1527,552
2,0.07,FL,player,5,0.75,462,394,518,559
2,0.07,FL,player,7,0.72,358,419,442,572
2,0.07,FL,player,8,0.7,612,383,659,530
2,0.07,FL,player,9,0.75,510,393,579,567
2,0.07,FL,player,10,0.57,574,395,630,553
3,0.1,FL,player,3,0.79,1464,378,1534,551
3,0.1,FL,player,5,0.75,462,394,517,559
3,0.1,FL,player,7,0.64,356,420,440,572
3,0.1,FL,player,8,0.66,612,383,659,530
3,0.1,FL,player,9,0.76,510,392,580,567
3,0.1,FL,player,10,0.53,574,395,630,553
3,0.1,FL,player,14,0.51,1459,391,1516,549
4,0.13,FL,player,3,0.77,1467,378,1536,549
4,0.13,FL,player,5,0.75,462,395,517,559
4,0.13,FL,player,7,0.74,354,419,439,573
4,0.13,FL,player,8,0.66,612,383,659,531
4,0.13,FL,player,9,0.77,511,392,581,567
4,0.13,FL,player,10,0.55,574,395,630,553
4,0.13,FL,player,11,0.46,321,365,375,511
4,0.13,FL,player,14,0.52,1459,392,1515,547
5,0.17,FL,player,3,0.85,1467,376,1538,549
5,0.17,FL,player,5,0.75,461,394,517,560
5,0.17,FL,player,7,0.79,353,418,440,574
5,0.17,FL,player,8,0.64,610,384,657,530
5,0.17,FL,player,9,0.76,512,389,583,567
5,0.17,FL,player,10,0.54,574,395,630,553
6,0.2,FL,player,3,0.86,1466,376,1539,550
6,0.2,FL,player,5,0.78,461,394,517,560
6,0.2,FL,player,7,0.71,353,421,439,575
6,0.2,FL,player,8,0.67,610,384,656,531
6,0.2,FL,player,9,0.75,512,386,584,567
6,0.2,FL,player,10,0.57,574,395,630,554
7,0.23,FL,player,3,0.87,1466,377,1539,549
7,0.23,FL,player,5,0.78,461,394,517,560
7,0.23,FL,player,7,0.61,353,425,438,575
7,0.23,FL,player,8,0.67,610,385,656,531
7,0.23,FL,player,9,0.77,512,388,584,567
