frame,timestamp,camera,class,local_id,confidence,x1,y1,x2,y2
0,0.0,NL,player,1,0.91,611,489,813,716
0,0.0,NL,player,2,0.8,1585,0,1746,227
0,0.0,NL,player,3,0.78,303,97,395,256
0,0.0,NL,player,4,0.78,103,332,321,561
0,0.0,NL,player,5,0.74,468,0,537,100
0,0.0,NL,player,6,0.66,225,73,318,237
0,0.0,NL,player,7,0.65,102,440,310,667
0,0.0,NL,player,8,0.63,583,0,650,83
0,0.0,NL,player,9,0.53,1424,0,1484,83
0,0.0,NL,player,10,0.46,549,0,599,80
1,0.03,NL,player,1,0.86,617,489,818,715
1,0.03,NL,player,2,0.79,1585,0,1746,227
1,0.03,NL,player,3,0.79,304,97,397,258
1,0.03,NL,player,4,0.74,107,332,318,553
1,0.03,NL,player,5,0.74,469,0,539,101
1,0.03,NL,player,6,0.65,224,72,317,237
1,0.03,NL,player,7,0.65,57,392,305,663
1,0.03,NL,player,8,0.63,582,0,649,83
1,0.03,NL,player,9,0.57,1422,0,1482,83
1,0.03,NL,player,10,0.47,548,0,600,82
2,0.07,NL,player,1,0.72,633,490,830,713
2,0.07,NL,player,2,0.79,1585,0,1746,227
2,0.07,NL,player,3,0.79,303,96,397,260
2,0.07,NL,player,4,0.76,109,335,316,552
2,0.07,NL,player,5,0.75,470,0,539,101
2,0.07,NL,player,6,0.64,224,71,317,237
2,0.07,NL,player,7,0.68,64,390,308,658
2,0.07,NL,player,8,0.65,582,0,649,82
2,0.07,NL,player,10,0.46,549,0,599,80
3,0.1,NL,player,1,0.87,648,493,840,712
3,0.1,NL,player,2,0.78,1585,1,1745,226
3,0.1,NL,player,3,0.81,303,95,398,260
3,0.1,NL,player,4,0.75,112,337,315,550
3,0.1,NL,player,5,0.72,469,0,540,103
3,0.1,NL,player,6,0.64,224,72,317,236
3,0.1,NL,player,7,0.72,82,406,307,651
3,0.1,NL,player,8,0.62,582,0,650,82
4,0.13,NL,player,1,0.85,669,496,853,710
4,0.13,NL,player,2,0.79,1585,0,1746,227
4,0.13,NL,player,3,0.82,303,95,399,260
