frame,timestamp,camera,class,local_id,confidence,x1,y1,x2,y2,global_id
0,0.0,FL,player,3,0.8,1458,376,1527,550,75
0,0.0,FL,player,5,0.73,462,393,518,559,59
0,0.0,FL,player,7,0.72,357,416,443,571,-1
0,0.0,FL,player,8,0.71,612,383,659,530,-1
0,0.0,FL,player,9,0.7,508,383,581,567,28
0,0.0,FL,player,10,0.6,575,393,631,553,-1
0,0.0,FL,player,11,0.56,323,365,379,518,-1
1,0.03,FL,player,3,0.82,1460,377,1529,552,75
1,0.03,FL,player,5,0.75,462,394,518,559,59
1,0.03,FL,player,7,0.74,357,416,443,571,-1
1,0.03,FL,player,8,0.71,612,383,659,530,-1
1,0.03,FL,player,9,0.75,509,392,579,567,28
1,0.03,FL,player,10,0.59,574,395,630,553,-1
1,0.03,FL,player,11,0.53,323,366,377,513,-1
2,0.07,FL,player,3,0.76,1459,379,1527,552,75
2,0.07,FL,player,5,0.75,462,394,518,559,59
2,0.07,FL,player,7,0.72,358,419,442,572,-1
2,0.07,FL,player,8,0.7,612,383,659,530,-1
2,0.07,FL,player,9,0.75,510,393,579,567,28
2,0.07,FL,player,10,0.57,574,395,630,553,-1
3,0.1,FL,player,3,0.79,1464,378,1534,551,75
3,0.1,FL,player,5,0.75,462,394,517,559,59
3,0.1,FL,player,7,0.64,356,420,440,572,-1
3,0.1,FL,player,8,0.66,612,383,659,530,-1
3,0.1,FL,player,9,0.76,510,392,580,567,28
3,0.1,FL,player,10,0.53,574,395,630,553,-1
3,0.1,FL,player,14,0.51,1459,391,1516,549,-1
4,0.13,FL,player,3,0.77,1467,378,1536,549,75
4,0.13,FL,player,5,0.75,462,395,517,559,59
4,0.13,FL,player,7,0.74,354,419,439,573,-1
4,0.13,FL,player,8,0.66,612,383,659,531,-1
4,0.13,FL,player,9,0.77,511,392,581,567,28
4,0.13,FL,player,10,0.55,574,395,630,553,-1
4,0.13,FL,player,11,0.46,321,365,375,511,-1
4,0.13,FL,player,14,0.52,1459,392,1515,547,-1
5,0.17,FL,player,3,0.85,1467,376,1538,549,75
5,0.17,FL,player,5,0.75,461,394,517,560,59
5,0.17,FL,player,7,0.79,353,418,440,574,-1
5,0.17,FL,player,8,0.64,610,384,657,530,-1
5,0.17,FL,player,9,0.76,512,389,583,567,28
